queue_no,registry_key,title,source,author,year,legacy_category,target_category,domain_scope,authority_tier_candidate,target_authority_level_if_approved,review_bucket,planned_import_stage,target_table_plan,reviewer_roles_required,minimum_checks,blocking_flags,human_decision_required,initial_review_status,approval_decision,reference_document_status_on_import,knowledge_document_status_on_import,is_chat_eligible,chat_priority,supabase_dml_status,origin,origin_file,content_preview
32,836e2d73bd8e,مجلة الأحكام العدلية - المادة 5: شروط صحة الوقف,مجلة الأحكام العدلية - كتاب الوقف,,,فقهي,jurisprudence,fiqh,official_or_legal_primary_candidate,official,P2_FIQH_AUTHORITY_REVIEW,stage_02_reference_documents_in_review_after_p1,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,fiqh_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_fiqh_source_authority;separate_fiqh_opinion_from_binding_law;add_school_or_doctrinal_context_if_available,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/basic_references.json,"المادة الخامسة: يشترط لصحة الوقف:

1. أن يكون الموقوف مالاً متقوماً: أي له قيمة مالية شرعاً
2. أن يكون معلوماً: محدداً بالوصف أو المشاهدة
3. أن يكون مملوكاً للواقف: ملكية تامة صحيحة
4. أن يكون قابلاً للانتفاع مع بقاء عينه: كالعقار والأثاث
5. أن يكون الوقف مؤبداً: لا يجوز توقيته بمدة معينة
6. أن تكون الجهة الموقوف عليها معلومة: محددة بوضوح
7. أن تكون الجهة الموقوف عليها جهة بر: لا تكون معصية

الأموال التي لا يصح وقفها:
- المنقولات التي تستهلك بالاستعمال (كالطعام)
- الأموال المغصوبة أو المسروقة
- الأموال المجهولة أو غير المحددة"
33,0981042d3af2,المجلة العدلية (مجلة الأحكام العدلية),,لجنة من فقهاء الدولة العثمانية,1876,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"المجلة العدلية أو 'مجلة الأحكام العدلية' هي أول تقنين للفقه الإسلامي (المذهب الحنفي) في العصر الحديث. صدرت في الدولة العثمانية عام 1293هـ/1876م، وتتكون من 1851 مادة قانونية موزعة على 16 كتاباً.

تغطي المجلة العدلية المعاملات المدنية والتجارية في الفقه الإسلامي، وتشمل: البيوع، الإجارة، الكفالة، الحوالة، الرهن، الأمانات، الهبة، الغصب، الإتلاف، الحجر، الإكراه، الشفعة، الشركة، الوكالة، الصلح، الإقرار، والدعوى والبينات.

في مجال الأوقاف، تتضمن المجلة العدلية أحكاماً مهمة في عدة كتب، خاصة في كتاب الإجارة (حيث يُعامل استئجار الوقف)، وكتاب الهبة (حيث يُقارن الوقف بالهبة)، وكتاب الغصب (حيث تُعالج مسألة"
34,a76fa00d7416,قانون أملاك الغائبين - الأوقاف,قانون أملاك الغائبين الإسرائيلي (1950),,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,استولت إسرائيل على العديد من الأوقاف الإسلامية بحجة أنها أملاك غائبين، رغم أن الوقف لا يملكه شخص معين.
35,9f09c4db023e,قانون أملاك الغائبين الإسرائيلي 1950 - التعريف,قانون أملاك الغائبين الإسرائيلي (1950),,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,يعرف القانون الإسرائيلي 'الغائب' بأنه كل من ترك مكان إقامته في فلسطين قبل 1948 أو بعده، وتم الاستيلاء على أملاكه.
36,649190f4d4c0,قانون الأراضي العثماني - المادة 12: وقف الأراضي الأميرية,قانون الأراضي العثماني 1858,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/basic_references.json,"المادة الثانية عشرة: يجوز وقف حق التصرف في الأراضي الأميرية بإذن من السلطان أو من ينوب عنه.

شروط وقف الأراضي الأميرية:
1. الحصول على إذن رسمي من الدولة (الإرادة السنية)
2. تسجيل الوقف في السجلات الرسمية
3. تحديد جهة الوقف (خيري أو ذري)
4. تعيين ناظر للوقف
5. استمرار دفع الضرائب المقررة (الميري) من ريع الوقف

أحكام خاصة:
- إذا لم يُدفع الميري من ريع الوقف، يحق للدولة المطالبة به من ناظر الوقف
- لا يجوز بيع الأرض الموقوفة إلا في حالات الاستبدال الشرعي
- يجوز تأجير الأرض الموقوفة بعقد إجارة طويلة (حكر)"
37,aaff1561c5bd,قانون الأراضي العثماني - المادة 1: تعريف الأراضي,قانون الأراضي العثماني 1858,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,old_db_success_insert_query,db-query-error-1767919336713.json,المادة الأولى: الأراضي على خمسة أقسام...
38,ddac895907fd,قانون الأراضي العثماني - المادة 36: حقوق المتولي,قانون الأراضي العثماني (1858),,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,للمتولي على الوقف حق الإدارة والنظر في شؤونه، وله أن يؤجر الأرض الموقوفة بما يحقق مصلحة الوقف، ولا يجوز له التصرف فيها بالبيع أو الرهن.
39,5cc368c7b44a,قانون الأراضي العثماني - المادة 3: الأراضي الأميرية,قانون الأراضي العثماني 1858,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/basic_references.json,"المادة الثالثة: الأراضي الأميرية هي الأراضي التي رقبتها للدولة، وللأفراد حق التصرف فيها فقط.

شروط التصرف في الأراضي الأميرية:
1. يجب دفع الضرائب المقررة (الميري) سنوياً للدولة
2. يجب زراعة الأرض وعدم تركها بوراً لمدة تزيد عن ثلاث سنوات
3. لا يجوز بيع رقبة الأرض، وإنما يباع حق التصرف فقط
4. يجوز توريث حق التصرف للورثة الشرعيين
5. يجوز وقف حق التصرف بإذن من الدولة

عقوبة ترك الأرض بوراً:
إذا ترك صاحب حق التصرف الأرض بوراً لمدة ثلاث سنوات متتالية دون عذر شرعي، يسقط حقه في التصرف، وتعود الأرض للدولة لتمنحها لمن يعمرها."
40,591280092bfb,قانون الأراضي العثماني - المادة 4: الأراضي الموقوفة,قانون الأراضي العثماني (1858),,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,الأراضي الموقوفة هي الأراضي التي أوقفها أصحابها على جهة بر أو خير. ولا يجوز بيعها أو رهنها أو توريثها، وإنما تبقى على ملك الموقوف عليهم أو الجهة الموقوف عليها.
41,eccc9553368d,قانون الأراضي العثماني 1858,https://maqam.najah.edu/legislation/169/,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/knowledge_base.json,"قانون الأراضي العثماني الصادر عام 1858 (1274 هجري) هو القانون الأساسي الذي ينظم ملكية الأراضي في فلسطين. لا يزال ساري النفاذ في الضفة الغربية وغزة.

تقسيم الأراضي (المادة 1):
1. الأراضي المملوكة: المحلات الحاصل التصرف بها على وجه الملكية
2. الأراضي الأميرية: الأراضي التابعة لبيت المال
3. الأراضي الموقوفة: الأراضي الموقوفة وفقاً للشرع
4. الأراضي المتروكة: المخصصة لعموم الناس أو أهالي القرى
5. الأراضي الموات: الأراضي الخالية البعيدة عن العمران

الأراضي الموقوفة (المادة 4):
القسم الأول: الأراضي التي كانت من الأراضي المملوكة صحيحاً وأوقفت وفقاً للشرع الشريف. رقبتها وجميع حقوق التصرف بها عائدة إلى"
42,0d681b5ebc1c,قانون الأوقاف الأردني - المادة 10: إدارة الأوقاف,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/basic_references.json,"المادة 10: تتولى وزارة الأوقاف إدارة الأوقاف الخيرية والإشراف على الأوقاف الذرية.

صلاحيات الوزارة:
1. إدارة الأوقاف الخيرية واستثمارها
2. تعيين النظار والمتولين
3. الإشراف على صرف ريع الأوقاف
4. صيانة الأوقاف وعمارتها
5. استبدال الأوقاف عند الضرورة
6. رفع الدعاوى القضائية المتعلقة بالأوقاف
7. قبول الأوقاف الجديدة

واجبات الناظر:
- المحافظة على الوقف وعمارته
- استثمار الوقف بالطرق الشرعية
- صرف الريع على الجهات المستحقة
- تقديم حساب سنوي للوزارة
- عدم التصرف في الوقف إلا بإذن من الوزارة"
43,15c1b4d2037c,قانون الأوقاف الأردني - المادة 15: صلاحيات المتولي,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,للمتولي إدارة الوقف وتأجير أعيانه واستثمارها بما يحقق مصلحة الوقف، وله أن يقاضي ويقاضى باسم الوقف.
44,2a98ed1cb9ac,قانون الأوقاف الأردني - المادة 20: الإشراف على الأوقاف,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,تشرف وزارة الأوقاف على جميع الأوقاف الخيرية والذرية، ولها حق الرقابة والتفتيش على أعمال المتولين.
45,9e8c3e05093d,قانون الأوقاف الأردني - المادة 2: تعريف الوقف الخيري,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,الوقف الخيري هو ما وقف على جهة بر وخير ابتداءً كالمساجد والمدارس والمستشفيات ودور الأيتام.
46,606553700800,قانون الأوقاف الأردني - المادة 3: الوقف الذري,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,الوقف الذري هو ما وقف على الذرية ابتداءً ثم على جهة بر وخير انتهاءً.
47,d826bc0b411d,قانون الأوقاف الأردني رقم 23 لسنة 1964 - المادة 1: التعاريف,قانون الأوقاف الأردني رقم 23 لسنة 1964,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/basic_references.json,"المادة 1: تعاريف

في هذا القانون، يكون للكلمات والعبارات التالية المعاني المخصصة لها أدناه ما لم تدل القرينة على خلاف ذلك:

الوزارة: وزارة الأوقاف والشؤون والمقدسات الإسلامية
الوزير: وزير الأوقاف والشؤون والمقدسات الإسلامية
الوقف: حبس العين عن تمليكها لأحد من العباد والتصدق بالمنفعة على الفقراء أو على وجه من وجوه الخير
الوقف الخيري: ما وقف على جهة بر عامة كالفقراء والمساجد والمدارس
الوقف الذري: ما وقف على الذرية والأولاد
الناظر: من يتولى إدارة الوقف والإشراف عليه
المتولي: من يتولى إدارة الوقف الذري
الريع: الدخل الناتج عن الوقف"
48,b8482acdea7c,قانون الأوقاف الفلسطيني رقم 2 لسنة 2014,,السلطة الوطنية الفلسطينية,2014,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"قانون الأوقاف الفلسطيني رقم 2 لسنة 2014 هو القانون المنظم للأوقاف في فلسطين، صدر عن السلطة الوطنية الفلسطينية. يُعد هذا القانون من أهم التشريعات القانونية المتعلقة بالأوقاف في فلسطين.

يتكون القانون من 52 مادة موزعة على عدة فصول، تشمل: التعاريف والأحكام العامة، أنواع الأوقاف، شروط الوقف وأركانه، إدارة الأوقاف، صلاحيات وزارة الأوقاف، نظارة الأوقاف، استثمار الأوقاف، استبدال الأوقاف، حماية الأوقاف، والعقوبات.

من أهم ما ينظمه القانون:
1. تعريف الوقف: 'حبس العين على حكم ملك الله تعالى والتصدق بالمنفعة على جهة بر وخير'.
2. أنواع الوقف: الوقف الخيري (على جهات البر)، والوقف الذري (على الذرية ثم على ج"
49,8793b3d2f821,قانون الأوقاف والشؤون الدينية رقم (26) لسنة 1966م وتعديلاته,https://mjr.ogb.gov.ps/MergedLegislations/ViewText/165/,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,research_data/knowledge_base.json,"قانون الأوقاف والشؤون الدينية رقم (26) لسنة 1966م هو القانون الأساسي الذي ينظم شؤون الأوقاف في فلسطين. صدر في عهد المملكة الأردنية الهاشمية ولا يزال ساري المفعول مع تعديلات حتى عام 2023.

أهم التعريفات:
- الأوقاف والشؤون الدينية: الأموال المنقولة أو غير المنقولة الموقوفة على جهة بر لا تنقطع ابتداء أو انتهاء، والمساجد وملحقاتها والمقامات ودور التكايا والزوايا والمقابر الإسلامية.

أهداف الوزارة:
1. المحافظة على المساجد وأموال الأوقاف وصيانتها وتنميتها وإدارة شؤونها
2. العناية بتطوير المسجد ليؤدي رسالته في مجالات التربية الإسلامية
3. إذكاء روح التضحية والجهاد والثبات في الأمة
4. تنمية الأخلاق الإ"
50,08a183447918,قانون العدل والإنصاف للقضاء على مشكلات الأوقاف,,محمد قدري باشا,1893,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation;source_missing_blocker,missing_source,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,new_references.json,"كتاب 'قانون العدل والإنصاف للقضاء على مشكلات الأوقاف' من تأليف محمد قدري باشا (1821-1888م)، وهو أحد أبرز فقهاء القانون في العصر الحديث. يُعد هذا الكتاب من المراجع القانونية المهمة في مجال الأوقاف الإسلامية.

يتناول الكتاب المشكلات القانونية والإدارية التي تواجه الأوقاف الإسلامية، ويقدم حلولاً قانونية مستمدة من الفقه الإسلامي والقانون الوضعي. يعالج الكتاب قضايا مثل: النزاعات على الأوقاف، شروط الواقفين، إدارة الأوقاف، استبدال الأوقاف، والإشراف القضائي على الأوقاف.

ألف محمد قدري باشا هذا الكتاب في سياق الإصلاحات القانونية التي شهدتها مصر في القرن التاسع عشر، حيث كان هناك حاجة لتنظيم قانوني حديث"
51,259fdcb855d4,قرار بقانون 2018 - المادة 10: حماية الأوقاف,قرار بقانون رقم (1) لسنة 2018,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,تتمتع الأوقاف بالحماية القانونية، ولا يجوز الاعتداء عليها أو الاستيلاء عليها أو تغيير معالمها.
52,ce17ae71438c,قرار بقانون 2018 - المادة 5: المجلس الأعلى للأوقاف,قرار بقانون رقم (1) لسنة 2018,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,يشكل مجلس أعلى للأوقاف برئاسة الوزير وعضوية ممثلين عن الجهات ذات العلاقة، ويختص بوضع السياسات العامة للأوقاف.
53,f161abf0a484,قرار بقانون رقم 1 لسنة 2018 - المادة 2: أهداف الوزارة,قرار بقانون رقم (1) لسنة 2018 بشأن الأوقاف الإسلامية,,,قانوني,law,waqf_law,official_or_legal_primary_candidate,official,P1_LEGAL_PRIMARY_REFERENCE_REVIEW,stage_01_reference_documents_in_review,assistant.reference_documents first; assistant.knowledge_documents only after approval/derivation,legal_reviewer;senior_knowledge_approver;knowledge_admin,verify_title_identity;verify_source_identity_or_mark_missing;deduplicate_against_supabase_seed8_and_old_register;assign_reference_document_domain_scope;record_reviewer_and_decision;keep_chat_eligible_false_until_final_approval;verify_legal_force;verify_effective_dates;verify_jurisdiction_palestine_or_historical_context;add_article_or_locator_citation,,yes,pending_human_approval,pending,in_review,not_created_until_reference_approved,false,n/a_until_approved,not_applied,legacy_source_file,scripts/additional_references.json,تهدف وزارة الأوقاف والشؤون الدينية إلى إدارة وتنظيم الأوقاف الإسلامية وحمايتها وتنميتها واستثمارها.
